timestamp,deviceID,site,pressure
2022-11-04 15:13:35,59584,Pitipana,8975
2022-11-04 15:13:59,59584,Pitipana,8975
2022-11-04 15:14:23,59584,Pitipana,8975
2022-11-04 15:14:47,59584,Pitipana,8975
2022-11-04 15:15:11,59584,Pitipana,8975
2022-11-04 15:15:35,59584,Pitipana,8975
2022-11-04 15:16:00,59584,Pitipana,8975
2022-11-04 15:16:23,59584,Pitipana,8975
2022-11-04 15:16:42,60915,Peliyagoda,416
2022-11-04 15:16:48,59584,Pitipana,8975
2022-11-04 15:17:06,60915,Peliyagoda,416
2022-11-04 15:17:11,59584,Pitipana,8975
2022-11-04 15:17:30,60915,Peliyagoda,416
2022-11-04 15:17:36,59584,Pitipana,8975
2022-11-04 15:17:54,60915,Peliyagoda,416
2022-11-04 15:18:00,59584,Pitipana,8975
2022-11-04 15:18:02,60241,Hunumulla,544
2022-11-04 15:18:17,60915,Peliyagoda,417
2022-11-04 15:18:24,59584,Pitipana,8975
2022-11-04 15:18:26,60241,Hunumulla,544
2022-11-04 15:18:41,60915,Peliyagoda,417
2022-11-04 15:18:48,59584,Pitipana,8975
2022-11-04 15:18:50,60241,Hunumulla,544
2022-11-04 15:19:05,60915,Peliyagoda,417
2022-11-04 15:19:12,60179,Kegalle,492
2022-11-04 15:19:14,59584,Pitipana,8975
2022-11-04 15:19:16,60241,Hunumulla,544
2022-11-04 15:19:31,60915,Peliyagoda,416
2022-11-04 15:19:36,59584,Pitipana,8975
2022-11-04 15:19:39,60179,Kegalle,492
2022-11-04 15:19:41,60241,Hunumulla,544
2022-11-04 15:19:53,60915,Peliyagoda,417
2022-11-04 15:20:00,60179,Kegalle,492
2022-11-04 15:20:02,59584,Pitipana,8975
2022-11-04 15:20:05,60241,Hunumulla,544
2022-11-04 15:20:18,60915,Peliyagoda,417
2022-11-04 15:20:24,59584,Pitipana,8975
2022-11-04 15:20:26,60179,Kegalle,492
2022-11-04 15:20:28,60241,Hunumulla,544
2022-11-04 15:20:32,60210,Midland,236
2022-11-04 15:20:41,60915,Peliyagoda,417
2022-11-04 15:20:48,59584,Pitipana,8975
2022-11-04 15:20:50,60179,Kegalle,492
2022-11-04 15:20:52,60241,Hunumulla,544
2022-11-04 15:20:56,60210,Midland,236
2022-11-04 15:21:05,60915,Peliyagoda,417
2022-11-04 15:21:12,60179,Kegalle,492
2022-11-04 15:21:14,59584,Pitipana,8975
2022-11-04 15:21:17,60241,Hunumulla,544
2022-11-04 15:21:21,60210,Midland,236
2022-11-04 15:21:28,60915,Peliyagoda,416
2022-11-04 15:21:37,60179,Kegalle,492
2022-11-04 15:21:39,59584,Pitipana,8950
2022-11-04 15:21:41,60241,Hunumulla,544
2022-11-04 15:21:45,60210,Midland,236
2022-11-04 15:21:53,60915,Peliyagoda,416
2022-11-04 15:22:00,60241,Hunumulla,544
2022-11-04 15:22:02,59584,Pitipana,8950
2022-11-04 15:22:04,60179,Kegalle,492
2022-11-04 15:22:12,60210,Midland,236
2022-11-04 15:22:17,60915,Peliyagoda,415
2022-11-04 15:22:24,60241,Hunumulla,544
2022-11-04 15:22:26,59584,Pitipana,8975
2022-11-04 15:22:28,60179,Kegalle,492
2022-11-04 15:22:34,60210,Midland,236
2022-11-04 15:22:41,60915,Peliyagoda,414
2022-11-04 15:22:48,60241,Hunumulla,544
2022-11-04 15:22:50,59584,Pitipana,8950
2022-11-04 15:22:52,60179,Kegalle,492
2022-11-04 15:22:58,60210,Midland,236
2022-11-04 15:23:05,60915,Peliyagoda,413
2022-11-04 15:23:13,60241,Hunumulla,544
2022-11-04 15:23:14,59584,Pitipana,8950
2022-11-04 15:23:16,60179,Kegalle,492
2022-11-04 15:23:22,60210,Midland,236
2022-11-04 15:23:31,60915,Peliyagoda,412
2022-11-04 15:23:36,60241,Hunumulla,544
2022-11-04 15:23:43,59584,Pitipana,8950
2022-11-04 15:23:48,60210,Midland,236
2022-11-04 15:23:52,60915,Peliyagoda,411
2022-11-04 15:24:00,60241,Hunumulla,544
2022-11-04 15:24:07,59584,Pitipana,8975
2022-11-04 15:24:14,60210,Midland,236
2022-11-04 15:24:22,60915,Peliyagoda,410
2022-11-04 15:24:30,60241,Hunumulla,544
2022-11-04 15:24:36,60210,Midland,236
2022-11-04 15:24:41,60915,Peliyagoda,408
2022-11-04 15:24:48,60241,Hunumulla,544
2022-11-04 15:24:57,59584,Pitipana,8950
2022-11-04 15:25:08,60210,Midland,236
2022-11-04 15:25:14,60241,Hunumulla,544
2022-11-04 15:25:30,59584,Pitipana,8950
2022-11-04 15:25:48,60915,Peliyagoda,406
2022-11-04 15:25:55,60210,Midland,236
2022-11-04 15:26:07,60241,Hunumulla,544
2022-11-04 15:26:18,60210,Midland,236
2022-11-04 15:26:26,60915,Peliyagoda,405
2022-11-04 15:26:31,59584,Pitipana,8950
2022-11-04 15:26:41,60210,Midland,237
2022-11-04 15:26:48,60915,Peliyagoda,405
2022-11-04 15:26:56,60241,Hunumulla,544
2022-11-04 15:27:03,60210,Midland,236
2022-11-04 15:27:09,60915,Peliyagoda,404
2022-11-04 15:27:16,60241,Hunumulla,544
2022-11-04 15:27:24,60179,Kegalle,492
2022-11-04 15:27:31,60210,Midland,236
2022-11-04 15:27:38,60241,Hunumulla,544
2022-11-04 15:27:45,59584,Pitipana,8950
2022-11-04 15:27:51,60210,Midland,236
2022-11-04 15:27:58,60915,Peliyagoda,404
2022-11-04 15:28:05,60241,Hunumulla,544
2022-11-04 15:28:13,60179,Kegalle,493
2022-11-04 15:28:20,60210,Midland,237
2022-11-04 15:28:27,60241,Hunumulla,544
2022-11-04 15:28:33,59584,Pitipana,8975
2022-11-04 15:28:40,60210,Midland,237
2022-11-04 15:28:46,60915,Peliyagoda,403
2022-11-04 15:28:53,60241,Hunumulla,544
2022-11-04 15:35:28,60915,Peliyagoda,398
2022-11-04 15:35:34,60241,Hunumulla,544
2022-11-04 15:35:40,60241,Hunumulla,544
2022-11-04 15:35:46,59584,Pitipana,8975
2022-11-04 15:35:53,60915,Peliyagoda,397
2022-11-04 15:36:01,60241,Hunumulla,544
2022-11-04 15:36:07,60210,Midland,237
2022-11-04 15:36:14,60179,Kegalle,493
2022-11-04 15:36:20,60915,Peliyagoda,396
2022-11-04 15:36:27,60241,Hunumulla,544
2022-11-04 15:36:34,60210,Midland,237
2022-11-04 15:36:41,60915,Peliyagoda,396
