Timestamp,Date,Time,deviceId,ioid2
4/11/2022 15:13,2022-04-11,15:13,59584,8975
4/11/2022 15:13,2022-04-11,15:13,59584,8975
4/11/2022 15:14,2022-04-11,15:14,59584,8975
4/11/2022 15:14,2022-04-11,15:14,59584,8975
4/11/2022 15:15,2022-04-11,15:15,59584,8975
4/11/2022 15:15,2022-04-11,15:15,59584,8975
4/11/2022 15:16,2022-04-11,15:16,59584,8975
4/11/2022 15:16,2022-04-11,15:16,59584,8975
4/11/2022 15:16,2022-04-11,15:16,59584,8975
4/11/2022 15:17,2022-04-11,15:17,59584,8975
4/11/2022 15:17,2022-04-11,15:17,59584,8975
4/11/2022 15:18,2022-04-11,15:18,59584,8975
4/11/2022 15:18,2022-04-11,15:18,59584,8975
4/11/2022 15:18,2022-04-11,15:18,59584,8975
4/11/2022 15:19,2022-04-11,15:19,59584,8975
4/11/2022 15:19,2022-04-11,15:19,59584,8975
4/11/2022 15:20,2022-04-11,15:20,59584,8975
4/11/2022 15:20,2022-04-11,15:20,59584,8975
4/11/2022 15:20,2022-04-11,15:20,59584,8975
4/11/2022 15:21,2022-04-11,15:21,59584,8975
4/11/2022 15:21,2022-04-11,15:21,59584,8950
4/11/2022 15:22,2022-04-11,15:22,59584,8950
4/11/2022 15:22,2022-04-11,15:22,59584,8975
4/11/2022 15:22,2022-04-11,15:22,59584,8950
4/11/2022 15:23,2022-04-11,15:23,59584,8950
4/11/2022 15:23,2022-04-11,15:23,59584,8950
4/11/2022 15:24,2022-04-11,15:24,59584,8975
4/11/2022 15:24,2022-04-11,15:24,59584,8950
4/11/2022 15:25,2022-04-11,15:25,59584,8950
4/11/2022 15:26,2022-04-11,15:26,59584,8950
4/11/2022 15:27,2022-04-11,15:27,59584,8950
4/11/2022 15:28,2022-04-11,15:28,59584,8975
4/11/2022 15:35,2022-04-11,15:35,59584,8975
4/11/2022 15:37,2022-04-11,15:37,59584,8975
4/11/2022 15:37,2022-04-11,15:37,59584,8975
4/11/2022 15:37,2022-04-11,15:37,59584,8975
4/11/2022 15:39,2022-04-11,15:39,59584,8975
4/11/2022 15:40,2022-04-11,15:40,59584,8950
4/11/2022 15:40,2022-04-11,15:40,59584,8950
4/11/2022 15:40,2022-04-11,15:40,59584,8950
4/11/2022 15:41,2022-04-11,15:41,59584,8975
4/11/2022 15:41,2022-04-11,15:41,59584,8975
4/11/2022 15:42,2022-04-11,15:42,59584,8975
4/11/2022 15:42,2022-04-11,15:42,59584,8950
4/11/2022 15:42,2022-04-11,15:42,59584,8950
4/11/2022 15:43,2022-04-11,15:43,59584,8950
4/11/2022 15:43,2022-04-11,15:43,59584,8950
4/11/2022 15:44,2022-04-11,15:44,59584,8950
4/11/2022 15:44,2022-04-11,15:44,59584,8950
4/11/2022 15:44,2022-04-11,15:44,59584,8950
