id,timestamp,deviceID,site,pressure
1,2022-11-04 15:13:35,59584,Pitipana,8975
2,2022-11-04 15:13:59,59584,Pitipana,8975
3,2022-11-04 15:14:23,59584,Pitipana,8975
4,2022-11-04 15:14:47,59584,Pitipana,8975
5,2022-11-04 15:15:11,59584,Pitipana,8975
6,2022-11-04 15:15:35,59584,Pitipana,8975
7,2022-11-04 15:16:00,59584,Pitipana,8975
8,2022-11-04 15:16:23,59584,Pitipana,8975
9,2022-11-04 15:16:42,60915,Peliyagoda,416
10,2022-11-04 15:16:48,59584,Pitipana,8975
11,2022-11-04 15:17:06,60915,Peliyagoda,416
12,2022-11-04 15:17:11,59584,Pitipana,8975
13,2022-11-04 15:17:30,60915,Peliyagoda,416
14,2022-11-04 15:17:36,59584,Pitipana,8975
15,2022-11-04 15:17:54,60915,Peliyagoda,416
16,2022-11-04 15:18:00,59584,Pitipana,8975
17,2022-11-04 15:18:02,60241,Hunumulla,544
18,2022-11-04 15:18:17,60915,Peliyagoda,417
19,2022-11-04 15:18:24,59584,Pitipana,8975
20,2022-11-04 15:18:26,60241,Hunumulla,544
21,2022-11-04 15:18:41,60915,Peliyagoda,417
22,2022-11-04 15:18:48,59584,Pitipana,8975
23,2022-11-04 15:18:50,60241,Hunumulla,544
24,2022-11-04 15:19:05,60915,Peliyagoda,417
25,2022-11-04 15:19:12,60179,Kegalle,492
26,2022-11-04 15:19:14,59584,Pitipana,8975
27,2022-11-04 15:19:16,60241,Hunumulla,544
28,2022-11-04 15:19:31,60915,Peliyagoda,416
29,2022-11-04 15:19:36,59584,Pitipana,8975
30,2022-11-04 15:19:39,60179,Kegalle,492
31,2022-11-04 15:19:41,60241,Hunumulla,544
32,2022-11-04 15:19:53,60915,Peliyagoda,417
33,2022-11-04 15:20:00,60179,Kegalle,492
34,2022-11-04 15:20:02,59584,Pitipana,8975
35,2022-11-04 15:20:05,60241,Hunumulla,544
36,2022-11-04 15:20:18,60915,Peliyagoda,417
37,2022-11-04 15:20:24,59584,Pitipana,8975
38,2022-11-04 15:20:26,60179,Kegalle,492
39,2022-11-04 15:20:28,60241,Hunumulla,544
40,2022-11-04 15:20:32,60210,Midland,236
41,2022-11-04 15:20:41,60915,Peliyagoda,417
42,2022-11-04 15:20:48,59584,Pitipana,8975
43,2022-11-04 15:20:50,60179,Kegalle,492
44,2022-11-04 15:20:52,60241,Hunumulla,544
45,2022-11-04 15:20:56,60210,Midland,236
46,2022-11-04 15:21:05,60915,Peliyagoda,417
47,2022-11-04 15:21:12,60179,Kegalle,492
48,2022-11-04 15:21:14,59584,Pitipana,8975
49,2022-11-04 15:21:17,60241,Hunumulla,544
50,2022-11-04 15:21:21,60210,Midland,236
51,2022-11-04 15:21:28,60915,Peliyagoda,416
52,2022-11-04 15:21:37,60179,Kegalle,492
53,2022-11-04 15:21:39,59584,Pitipana,8950
54,2022-11-04 15:21:41,60241,Hunumulla,544
55,2022-11-04 15:21:45,60210,Midland,236
56,2022-11-04 15:21:53,60915,Peliyagoda,416
57,2022-11-04 15:22:00,60241,Hunumulla,544
58,2022-11-04 15:22:02,59584,Pitipana,8950
59,2022-11-04 15:22:04,60179,Kegalle,492
60,2022-11-04 15:22:12,60210,Midland,236
61,2022-11-04 15:22:17,60915,Peliyagoda,415
62,2022-11-04 15:22:24,60241,Hunumulla,544
63,2022-11-04 15:22:26,59584,Pitipana,8975
64,2022-11-04 15:22:28,60179,Kegalle,492
65,2022-11-04 15:22:34,60210,Midland,236
66,2022-11-04 15:22:41,60915,Peliyagoda,414
67,2022-11-04 15:22:48,60241,Hunumulla,544
68,2022-11-04 15:22:50,59584,Pitipana,8950
69,2022-11-04 15:22:52,60179,Kegalle,492
70,2022-11-04 15:22:58,60210,Midland,236
71,2022-11-04 15:23:05,60915,Peliyagoda,413
72,2022-11-04 15:23:13,60241,Hunumulla,544
73,2022-11-04 15:23:14,59584,Pitipana,8950
74,2022-11-04 15:23:16,60179,Kegalle,492
75,2022-11-04 15:23:22,60210,Midland,236
76,2022-11-04 15:23:31,60915,Peliyagoda,412
77,2022-11-04 15:23:36,60241,Hunumulla,544
78,2022-11-04 15:23:43,59584,Pitipana,8950
79,2022-11-04 15:23:48,60210,Midland,236
80,2022-11-04 15:23:52,60915,Peliyagoda,411
81,2022-11-04 15:24:00,60241,Hunumulla,544
82,2022-11-04 15:24:07,59584,Pitipana,8975
83,2022-11-04 15:24:14,60210,Midland,236
84,2022-11-04 15:24:22,60915,Peliyagoda,410
85,2022-11-04 15:24:30,60241,Hunumulla,544
86,2022-11-04 15:24:36,60210,Midland,236
87,2022-11-04 15:24:41,60915,Peliyagoda,408
88,2022-11-04 15:24:48,60241,Hunumulla,544
89,2022-11-04 15:24:57,59584,Pitipana,8950
90,2022-11-04 15:25:08,60210,Midland,236
91,2022-11-04 15:25:14,60241,Hunumulla,544
92,2022-11-04 15:25:30,59584,Pitipana,8950
93,2022-11-04 15:25:48,60915,Peliyagoda,406
94,2022-11-04 15:25:55,60210,Midland,236
95,2022-11-04 15:26:07,60241,Hunumulla,544
96,2022-11-04 15:26:18,60210,Midland,236
97,2022-11-04 15:26:26,60915,Peliyagoda,405
98,2022-11-04 15:26:31,59584,Pitipana,8950
99,2022-11-04 15:26:41,60210,Midland,237
100,2022-11-04 15:26:48,60915,Peliyagoda,405
101,2022-11-04 15:26:56,60241,Hunumulla,544
102,2022-11-04 15:27:03,60210,Midland,236
103,2022-11-04 15:27:09,60915,Peliyagoda,404
104,2022-11-04 15:27:16,60241,Hunumulla,544
105,2022-11-04 15:27:24,60179,Kegalle,492
106,2022-11-04 15:27:31,60210,Midland,236
107,2022-11-04 15:27:38,60241,Hunumulla,544
